Seafood Item Category ,Taxon (common name),Location of Study,"Mean Hg Concentration
(ppm, wet weight)",Number of Samples,Data Source (See Supplemental Material for References)
Ocean Perch,redfish,Scotland,0.120,2,(Ministry of Agriculture Fisheries and Food 1998)
Ocean Perch,redfish,"(market, Canada)",0.250,4,(Health Canada 2007)
Ocean Perch,redfish-blackbelly,Azores,0.211,31,(Andersen and Depledge 1997)
Ocean Perch,redfish-blackbelly,"(market, Portugal)",0.548,3,(Chen and Chen 2003)
Ocean Perch,redfish-ocean perch,Norway,0.010,25,(Julshamn et al. 2004)
Ocean Perch,redfish-ocean perch,Barents Sea,0.070,5,(Zauke et al. 1999)
Ocean Perch,redfish-pacific ocean perch,US-Alaska,0.056,78,(State of Alaska Department of Environmental Conservation 2009)
Orange Roughy,orange roughy,"(market, Canada)",0.433,15,(Health Canada 2007)
Orange Roughy,orange roughy,New Zealand,0.350,31,(Vandenbroek 1981)
Orange Roughy,orange roughy,"(market, US-Chicago)",0.570,19,(Burger and Gochfeld 2006)
Orange Roughy,orange roughy,"(market, UK)",0.595,6,(Knowles et al. 2003)
Orange Roughy,orange roughy,"(market, US)",0.571,81,(USFDA 2011)
Oysters,oysters,"(market, US)",0.015,61,(USFDA 2011)
Oysters,oysters,US-Virginia,0.005,1,(State of Virginia 2009)
Oysters,oysters,US,0.077,75,(USEPA 2011a)
Oysters,oysters,"(market, Canada)",0.010,20,(Health Canada 2007)
Oysters,oysters,"(market, Canada)",0.011,26,(Dabeka et al. 2004)
Oysters,oysters,"(market, Japan)",0.010,53,(Japanese Ministry of Health 2003)
Oysters,oysters,(market-Hong Kong China),0.015,200,(Tam and Mok 1991)
Oysters,oysters-Chinese,China-Bohai Sea,0.010,11,(Wang et al. 2005)
Oysters,oysters-eastern,US-Florida,0.030,16,(Fisher et al. 2000)
Oysters,oysters-eastern,US-Flori (Pensacola),0.030,4,(Lewis et al. 2004)
Oysters,oysters-eastern,US-Texas,0.030,10,(Park and Presley 1997)
Oysters,oysters-eastern,US-Atlantic,0.083,17,"(Delaware River Basin Commission, 2011)"
Oysters,oysters-eastern,US-Atlantic,0.011,200,(Kawaguchi et al. 1999)
Oysters,oysters-eastern,US-Georgia,0.060,9,(Sajwan et al. 2008)
Oysters,oysters-eastern,US-Mississippi,0.006,7,(Elston et al. 2005)
Oysters,oysters-eastern,US-Gulf,0.019,10,(Karouna-Renier et al. 2007)
Oysters,oysters-eastern,US,0.025,2059,(NOAA 2008)
Oysters,oysters-eastern,US,0.041,70,(Hall et al. 1978)
Oysters,oysters-eastern,US-Maryland,0.011,2158,(State of Maryland 2007)
Oysters,oysters-eastern,US-Louisiana,0.068,1,(Mueller et al. 1989)
Oysters,oysters-eastern,US-Virginia,0.052,9,(State of Virginia 2009)
Oysters,oysters-eastern,US-Virginia,0.033,1,(State of Virginia 2009)
Oysters,oysters-eastern,US-Virginia,0.022,2,(State of Virginia 2009)
Oysters,oysters-Pacific,Taiwan,0.020,137,(Chen and Chen 2003)
Oysters,oysters-Pacific,US,0.055,66,(USEPA 2011a)
Oysters,oysters-Pacific,Mexico,0.046,1,(Green-Ruiz et al. 2005)
Oysters,oysters-Pacific,US-Alaska,0.012,16,(State of Alaska Department of Environmental Conservation 2009)
Oysters,oysters-Pacific,"(market, Canada)",0.008,1,(Dabeka et al. 2004)
Oysters,oysters-Pacific,US,0.070,69,(Hall et al. 1978)
Pike,pike,Russia,0.584,5,(Laperdina et al. 1997)
Pike,pike-northern,Canada - Ontario lakes,0.742,18,(Kidd et al. 1995)
Pike,pike-northern,Canada - Ontario lakes,0.520,79,(Wren et al. 1991)
Pike,pike-northern ,Canada-Canadian Shield,0.516,19,(Garcia and Carignan 2000)
Pike,pike-northern ,Canada - Northern Manitoba,0.561,54,(Brinkmann and Rasmussen 2010)
Pike,pike-northern ,Canada - Northern Manitoba,1.340,7,(Jackson 1991)
Pike,pike-northern ,Northern Canada-lakes/river systems,0.378,1169,(Lockhart et al. 2005)
Pike,pike-northern  ,Great Lakes  ,0.247,23,(USEPA 2011a)
Plaice,plaice,North Sea,0.043,17,(Baeyens et al. 2003)
Plaice,plaice,Scotland,0.056,15,(Ministry of Agriculture Fisheries and Food 1998)
Plaice,plaice,England-West shore,0.343,89,(Collings et al. 1996)
Plaice,plaice,Norway,0.050,58,(Green and Knutzen 2003)
Plaice,plaice,"(market, Germany)",0.171,1,(Poperechna and Heumann 2005)
Plaice,plaice-Alaskan,"(market, US)",0.130,1,(USFDA 2011)
Plaice,plaice-American,US,0.049,8,(USEPA 2011a)
Plaice,plaice-American,"(market, US)",0.015,3,(USFDA 2011)
Plaice,plaice-American,US,0.080,58,(Hall et al. 1978)
Plaice,plaice-American,"(market, US-NYC)",0.024,1,(McKelvey et al. 2010; McKelvey unpublished data)
Plaice,plaice-American,Greenland,0.038,10,(Riget et al. 2007)
Plaice,plaice-American,Barents Sea,0.074,4,(Zauke et al. 1999)
Plaice,plaice-Canadian,"(market, Canada)",0.060,1,(Health Canada 2007)
Plaice,plaice-European,Scotland,0.053,7,(Davies 2012)
Plaice,plaice-European,Ireland,0.035,4,(Tyrell et al. 2005)
Plaice,plaice-European,Barents Sea,0.048,5,(Zauke et al. 1999)
Pollock,pollock,US,0.023,115,(USEPA 2011a)
Pollock,pollock,"(market, Germany)",0.704,1,(Poperechna and Heumann 2005)
Pollock,pollock,"(market, US)",0.033,77,(USFDA 2011)
Pollock,pollock,"(market, Japan)",0.098,5,(Japanese Ministry of Health 2003)
Pollock,pollock,"(market, US-WA)",0.009,24,(USEPA 2005)
Pollock,pollock (surimi),"(market, US)",0.046,4,(USFDA 2011)
Pollock,pollock-Alaska,US-Alaska,0.074,12,(Burger et al. 2007b)
Pollock,pollock-Alaska,"(market, Canada)",0.033,1,(Del Gobbo et al. 2010)
Pollock,pollock-Alaska,"(market, Italy)",0.062,3,(Plessi et al. 2001)
Pollock,pollock-Alaska,"(market, Canada)",0.020,3,(Health Canada 2007)
Pollock,pollock-Alaska,"(market, US)",0.035,14,(USFDA 2011)
Pollock,pollock-Pacific,Russia,0.005,1,(Yamashita et al. 2005)
Pollock,pollock-Pacific,US,0.140,15,(Hall et al. 1978)
Pollock,pollock-Pacific,US-Alaska,0.043,186,(State of Alaska Department of Environmental Conservation 2009)
Pollock,pollock-Atlantic,US,0.170,73,(Hall et al. 1978)
Pollock,pollock-Atlantic,Canada-Bay of Fundy,0.030,6,(Legrand et al. 2005)
Porgy,porgy,"(market, US-NYC)",0.087,14,(McKelvey et al. 2010; McKelvey unpublished data)
Porgy,porgy,"(market, US-NJ)",0.100,16,(Burger and Gochfeld 2005)
Porgy,porgy,"(market, Canada)",0.061,1,(Del Gobbo et al. 2010)
Porgy,porgy,US-Rhode Island,0.033,56,(Piraino and Taylor 2009)
Porgy,porgy (scup),US,0.102,10,(USEPA 2011a)
Porgy,porgy (scup),US-Atlantic,0.073,72,(Hall et al. 1978)
Sablefish,black cod,"(market, US)",0.420,1,(USFDA 2011)
Sablefish,sablefish,"(market, US)",0.361,26,(USFDA 2011)
Sablefish,sablefish,"(market, Canada)",0.334,99,(Health Canada 2007)
Sablefish,sablefish,US-Alaska,0.333,9,(Bloom 1992)
Sablefish,sablefish,US,0.517,6,(Teeny et al. 1974)
Sablefish,sablefish,"(market, Japan)",0.151,7,(Japanese Ministry of Health 2003)
Sablefish,sablefish,US,0.246,102,(Hall et al. 1978)
Sablefish,sablefish,US-Alaska,0.180,227,(State of Alaska Department of Environmental Conservation 2009)
Salmon,salmon,"(market, US)",0.028,67,(USFDA 2011)
Salmon,salmon,"(market, US-Chicago)",0.030,18,(Burger and Gochfeld 2006)
Salmon,salmon,"(market, Japan)",0.030,4,(Japanese Ministry of Health 2003)
Salmon,salmon,"(market, Spain)",0.050,3,(Domingo et al. 2007)
Salmon,salmon,"(market, UK)",0.030,21,(Food Standards Agency 2006)
Salmon,salmon,"(market, US-WA)",0.071,17,(USEPA 2005)
Salmon,salmon,"(market, US)",0.030,32,(USFDA 2008)
Salmon,salmon ,"(market, Canada)",0.030,1,(Health Canada 2007)
Salmon,salmon (all),"(market, Canada)",0.040,8,(Dabeka et al. 2004)
Salmon,salmon (farmed),"(market, UK)",0.052,23,(Knowles et al. 2003)
Salmon,salmon (farmed),Canada - farm raised Pacific Ocean,0.022,20,(Butala et al. 2007)
Salmon,salmon (mixed species),"(market, US)",0.005,2,(USFDA 2011)
Salmon,salmon (Pacific),"(market, Japan)",0.190,32,(Nakagawa et al. 1997)
Salmon,salmon (wild),Canada-Bay of Fundy,0.050,6,(Legrand et al. 2005)
Salmon,salmon-Atlantic,"(market, Japan)",0.028,5,(Japanese Ministry of Health 2003)
Salmon,salmon-Atlantic,"(market, US)",0.021,20,(Butala et al. 2007)
Salmon,salmon-Atlantic,"(market, Hong Kong, imported)",0.025,3,(Chung et al. 2008)
Salmon,salmon-Atlantic,"(market, Canada)",0.036,9,(Dabeka et al. 2004)
Salmon,salmon-Atlantic (farmed),"(market, US)",0.005,4,(USFDA 2011)
Salmon,salmon-Atlantic (farmed),"(market, Canada)",0.030,47,(Health Canada 2007)
Salmon,salmon-Atlantic (farmed),Canada-Atlantic,0.021,10,(Chou 2007)
Salmon,salmon-Atlantic (farmed),Norway,0.029,3,(Amlund et al. 2007)
Salmon,salmon-Atlantic (farmed),Norway,0.050,3,(Berntssen et al. 2010)
Salmon,salmon-Atlantic (farmed),Norway,0.050,8,(Bethune et al. 2006)
Salmon,salmon-Atlantic (farmed),Norway,0.086,3,(Plessi et al. 2001)
Salmon,salmon-Atlantic (farmed) Alaska,"(market, Italy)",0.117,3,(Plessi et al. 2001)
Salmon,"salmon-Atlantic (farmed, large)",Canada-Atlantic,0.015,33,(Jardine et al. 2009)
Salmon,"salmon-Atlantic (farmed, small)",Canada-Atlantic,0.014,31,(Jardine et al. 2009)
Salmon,salmon-Atlantic (wild) ,"(market, Canada)",0.056,10,(Dewailly et al. 2007)
Salmon,"salmon-Atlantic (wild, large) ",Canada-Atlantic,0.047,47,(Jardine et al. 2009)
Salmon,"salmon-Atlantic (wild, small) ",Canada-Atlantic,0.073,38,(Jardine et al. 2009)
Salmon,salmon-chinook (farmed),"(market, Canada)",0.029,2,(Easton et al. 2002)
Salmon,salmon-chinook (farmed),"(market, US)",0.005,2,(USFDA 2011)
Salmon,salmon-chinook (king) ,"(market, Japan)",0.020,3,(Japanese Ministry of Health 2003)
Salmon,salmon-chinook (spring) ,"(market, Canada)",0.053,3,(Dabeka et al. 2004)
Salmon,salmon-chinook (wild),"(market, Canada)",0.055,1,(Easton et al. 2002)
Salmon,salmon-chinook (wild),"(market, Canada)",0.050,29,(Health Canada 2007)
Salmon,salmon-chinook (wild),US-Alaska,0.064,238,(State of Alaska Department of Environmental Conservation 2009)
Salmon,salmon-chinook (wild),US-Alaska,0.041,10,(Bloom 1992)
Salmon,salmon-chinook (wild),US-California,0.078,5,(San Francisco Estuary Institute 2007)
Salmon,salmon-chinook (wild),US-Alaska,0.057,72,(Zhang et al. 2001)
Salmon,salmon-chinook (wild),US-Washington,0.090,116,(USEPA 2011a)
Salmon,salmon-chinook (wild),US,0.062,108,(Hall et al. 1978)
Salmon,salmon-chinook (wild),Northern Canada-lakes/river systems,0.090,1,(Lockhart et al. 2005)
Salmon,salmon-chum,"(market, Japan)",0.014,12,(Japanese Ministry of Health 2003)
Salmon,salmon-chum (wild),US-Alaska,0.082,72,(Zhang et al. 2001)
Salmon,salmon-chum (wild),"(market, Canada)",0.020,18,(Health Canada 2007)
Salmon,salmon-chum (wild),US-Alaska,0.041,281,(State of Alaska Department of Environmental Conservation 2009)
Salmon,salmon-chum (wild),"(market, US)",0.020,9,(USFDA 2011)
Salmon,salmon-chum (wild),US,0.044,55,(Hall et al. 1978)
Salmon,salmon-chum (wild),Northern Canada-lakes/river systems,0.067,8,(Lockhart et al. 2005)
Salmon,salmon-chum (wild),"(market, Canada)",0.026,1,(Easton et al. 2002)
Salmon,salmon-coho,"(market, Japan)",0.016,5,(Japanese Ministry of Health 2003)
Salmon,salmon-coho (wild),US-Alaska,0.048,76,(Zhang et al. 2001)
Salmon,salmon-coho (wild),"(market, Canada)",0.020,3,(Health Canada 2007)
Salmon,salmon-coho (wild),US-Alaska,0.038,244,(State of Alaska Department of Environmental Conservation 2009)
Salmon,salmon-coho (wild),US-Washington,0.046,167,(USEPA 2011a)
Salmon,salmon-coho (wild),"(market, US)",0.063,3,(USFDA 2011)
Salmon,salmon-coho (wild),US,0.055,69,(Hall et al. 1978)
Salmon,salmon-farmed,"(market, Canada)",0.018,46,(Dewailly et al. 2007)
Salmon,salmon-farmed (smoked),"(market, Poland)",0.040,10,(Usydus et al. 2009)
Salmon,salmon-pink (wild),"(market, Canada)",0.020,1,(Health Canada 2007)
Salmon,salmon-pink (wild),US-Alaska,0.040,186,(State of Alaska Department of Environmental Conservation 2009)
Salmon,salmon-pink (wild),"(market, US)",0.005,6,(USFDA 2011)
Salmon,salmon-pink (wild),US,0.025,29,(Hall et al. 1978)
Salmon,salmon-sockeye,"(market, Canada)",0.038,2,(Dabeka et al. 2004)
Salmon,salmon-sockeye (wild),market-Japan (exported from US),0.020,1,(Yamashita et al. 2005)
Salmon,salmon-sockeye (wild),US-Alaska,0.044,60,(Zhang et al. 2001)
Salmon,salmon-sockeye (wild),"(market, Canada)",0.030,15,(Health Canada 2007)
Salmon,salmon-sockeye (wild),US-Alaska,0.042,15,(Burger et al. 2007b)
Salmon,salmon-sockeye (wild),"(market, Canada)",0.057,2,(Easton et al. 2002)
Salmon,salmon-sockeye (wild),US-Alaska,0.038,240,(State of Alaska Department of Environmental Conservation 2009)
Salmon,salmon-sockeye (wild),"(market, US)",0.005,1,(USFDA 2011)
Salmon,salmon-sockeye (wild),US,0.040,60,(Hall et al. 1978)
Salmon (canned),salmon-pink (canned),"(market, US-IN)",0.090,2,(Shim et al. 2004)
Salmon (canned),salmon-pink (canned),"(market, US)",0.036,21,(Ikem and Egiebor 2005)
Salmon (canned),salmon-pink (canned),"(market, UK)",0.028,19,(Knowles et al. 2003)
Salmon (canned),salmon-sockeye (canned),"(market, UK)",0.036,13,(Knowles et al. 2003)
Salmon (canned),salmon-sockeye (canned),"(market, US)",0.033,6,(Ikem and Egiebor 2005)
Sardine (all),pilchard-canned,"(market, UK)",0.020,9,(Food Standards Agency 2003)
Sardine (all),sardine,"(market, Spain)",0.034,2,(Perello et al. 2008)
Sardine (all),sardine,"(market, Spain)",0.080,3,(Domingo et al. 2007)
Sardine (all),sardine,"(market, Spain)",0.072,5,(Cabanero et al. 2004)
Sardine (all),sardine,"(market, US)",0.015,90,(USFDA 2011)
Sardine (all),sardine,Spain-Mediterranean Sea,0.029,5,(Arcos et al. 2002)
Sardine (all),sardine-bigeye,"(market, Japan)",0.043,9,(Japanese Ministry of Health 2003)
Sardine (all),sardine-canned,"(market, UK)",0.030,18,(Knowles et al. 2003)
Sardine (all),sardine-European,"(market, Italy)",0.156,3,(Plessi et al. 2001)
Sardine (all),sardine-European,"(market, Japan)",0.010,20,(Nakagawa et al. 1997)
Sardine (all),sardine-European,"(market, Spain)",0.018,6,(Carbonell et al. 2009)
Sardine (all),sardine-European,"(market, Spain)",0.060,5,(Cabanero et al. 2007)
Sardine (all),sardine-European,Croatia,0.175,20,(Juresa and Blanusa 2003)
Sardine (all),sardine-European,Morocco-Mediterranean Sea,0.137,26,(Elhamri et al. 2007)
Sardine (all),sardine-European,"(market, Spain)",0.048,6,(Cabanero et al. 2005)
Sardine (all),sardine-European,Croatia,0.091,1,(Vedrina-Dragojevic et al. 2002)
Sardine (all),sardine-European,Spain-Mediterranean Sea,0.084,38,(Pastor et al. 1994)
Sardine (all),sardine-European,Adriatic Sea,0.100,202,(Gilmartin and Revelante 1975)
Sardine (all),sardine-European,Italy-Adriatic Sea,0.090,300,(Storelli et al. 2003)
Sardine (all),sardine-European,Spain,0.060,8,(Nadal et al. 2008)
Sardine (all),sardine-Japanese,"(market, Japan)",0.029,33,(Japanese Ministry of Health 2003)
Sardine (all),sardinella-round,Bermuda,0.070,1,(Dewailly et al. 2008)
Sardine (all),sardinella-round,Italy,0.080,150,(Storelli et al. 2003)
Sardine (all),sardine-Pacific,US-California,0.019,20,(USEPA Region 9 and NOAA 2007)
Sardine (all),sardine-round,"(market, Brazil)",0.053,4,(Augelli et al. 2007)
Sardine (all),sardine-round,Mauritania,0.018,4,(Romeo et al. 1999)
Sardine (all),sardines,"(market, Spain)",0.140,2,(Bordajandi et al. 2004)
Sardine (all),sardines/pilchards,"(market, UK)",0.010,5,(Food Standards Agency 2006)
Sardine (all),sardine-scaled,US-Florida,0.330,1,(Adams et al. 2003)
Sardine (all),sardines-canned,"(market, US)",0.107,23,(Ikem and Egiebor 2005)
Sardine (all),sardine-South American,"(market, Hong Kong)",0.026,3,(Chung et al. 2008)
Sardine (all),sardine-South American,Japan,0.010,1,(Yamashita et al. 2005)
Scallops,scallop-pink,US-Alaska,0.020,5,(Hall et al. 1978)
Scallops,scallops,US,0.018,3,(USEPA 2011a)
Scallops,scallops,"(market, US-NJ)",0.010,12,(Burger and Gochfeld 2005)
Scallops,scallops,"(market, US)",0.007,39,(USFDA 2011)
Scallops,scallops,"(market, Canada)",0.040,41,(Health Canada 2007)
Scallops,scallops,Canada-Bay of Fundy,0.020,1,(Legrand et al. 2005)
Scallops,scallops,"(market, Hong Kong China)",0.015,21,(Tam and Mok 1991)
Scallops,scallops,"(market, Japan)",0.012,66,(Japanese Ministry of Health 2003)
Scallops,scallops-bay,"(market, Japan)",0.090,20,(Nakagawa et al. 1997)
Scallops,scallops-bay,US,0.063,20,(Hall et al. 1978)
Scallops,scallops-bay,"(market, US-NC)",0.004,1,(Levine et al. 2005)
Scallops,scallops-calico,US,0.080,30,(Hall et al. 1978)
Scallops,scallops-saucer,China-Bohai Sea,0.009,11,(Wang et al. 2005)
Scallops,scallops-sea,US-Atlantic,0.090,42,(Greig et al. 1978)
Scallops,scallops-sea,US,0.047,11,(Hall et al. 1978)
Scallops,scallops-sea,US-North Carolina,0.017,3,(State of North Carolina 2011)
Scallops,scallops-weathervane,US-Washington (Puget Sound),0.036,10,(Bloom 1992)
Shad,shad,Canada-Bay of Fundy,0.100,2,(Legrand et al. 2005)
Shad,shad-American,US-Virginia,0.111,5,(State of Virginia 2009)
Shad,shad-American,US,0.040,11,(USEPA 2011a)
Shad,shad-American,US,0.068,60,(Hall et al. 1978)
Shad,shad-American/winter,US-Maryland,0.156,8,(State of Maryland 2007)
Shad,shad-hickory,US-Virginia,0.075,1,(State of Virginia 2009)
Shad,shad-hickory,US-Virginia,0.079,2,(State of Virginia 2009)
Shad,shad-hickory,US,0.103,3,(USEPA 2011a)
Shad,shad-hickory,US-Virginia,0.072,1,(State of Virginia 2009)
Shark,shark,"(market, Canada)",0.865,8,(Dabeka et al. 2004)
Shark,shark,"(market, US)",1.007,143,(USFDA 2011)
Shark,shark,Canada-Bay of Fundy,0.130,2,(Legrand et al. 2005)
Shark,shark,US-Gulf,1.610,9,(Cai et al. 2007)
Shark,shark,NA,2.000,6,(Krystek and Ritsema 2004)
Shark,shark,US,1.034,12,(USEPA 2011a)
Shark,shark,"(market, Japan)",0.430,2,(Japanese Ministry of Health 2003)
Shark,shark,"(market, Canada)",0.860,1,(Health Canada 2007)
Shark,shark,"(market, Canada)",0.849,12,(Forsyth et al. 2004)
Shark,"shark (dogfish, northern)","(market, Canada)",0.589,91,(Health Canada 2007)
Shark,shark-atlantic sharpnose,US-Florida,1.037,85,(Adams et al. 2003)
Shark,shark-Atlantic sharpnose,US-Florida,1.060,81,(Adams and McMichael 1999)
Shark,shark-Atlantic sharpnose,US,0.830,1,(Hall et al. 1978)
Shark,shark-Atlantic sharpnose,US,0.860,2,(USEPA 2011a)
Shark,shark-blacknose,US-Florida,0.542,6,(Adams et al. 2003)
Shark,shark-blacknose,Suriname,0.280,3,(Mol et al. 2001)
Shark,shark-blacknose,US-Gulf,0.530,2,(Hueter et al. 1995)
Shark,shark-blacknose,US,1.595,1,(USEPA 2011a)
Shark,shark-blacktip,US-Florida,0.812,98,(Adams et al. 2003)
Shark,shark-blacktip,"(market, Canada)",1.896,5,(Dabeka et al. 2004)
Shark,shark-blacktip,"(market, US)",1.161,54,(USFDA 2011)
Shark,shark-blacktip,US,0.703,16,(Hall et al. 1978)
Shark,shark-blacktip,Mexico-Gulf of California,0.510,16,(Garcia-Hernandez et al. 2007)
Shark,shark-blacktip,US-Atlantic,0.890,3,(Hueter et al. 1995)
Shark,shark-blacktip,US-Hawaii,0.700,26,(Thieleke 1973)
Shark,shark-blacktip,US-Florida,1.060,2,(Hueter et al. 1995)
Shark,shark-blacktip,US-Florida,0.770,21,(Adams and McMichael 1999)
Shark,shark-blacktip,US-Gulf,2.140,2,(Hueter et al. 1995)
Shark,shark-blacktip,Suriname,0.380,1,(Mol et al. 2001)
Shark,shark-blacktip,US,0.910,6,(USEPA 2011a)
Shark,shark-blue,"(market, Brazil)",1.900,4,(Augelli et al. 2007)
Shark,shark-blue,"(market, US)",1.060,1,(USFDA 2011)
Shark,shark-blue,US,0.880,14,(Hall et al. 1978)
Shark,shark-blue,Brazil,0.398,30,(Marsico et al. 2007)
Shark,shark-blue,Mexico-Gulf of California,0.270,1,(Garcia-Hernandez et al. 2007)
Shark,shark-blue/mako,"(market, Spain)",0.970,13,(Blanco et al. 2008)
Shark,shark-bonito,"(market, US)",0.773,7,(USFDA 2011)
Shark,shark-bonnethead,US-Florida,0.465,213,(Adams et al. 2003)
Shark,shark-bonnethead,US-Florida,0.500,95,(Adams and McMichael 1999)
Shark,shark-brown smooth,Mexico-Gulf of California,0.180,6,(Garcia-Hernandez et al. 2007)
Shark,shark-brown smoothhound,US-California,0.643,16,(San Francisco Estuary Institute 2007)
Shark,shark-brown smoothhound,US-California,0.597,7,(Fairey et al. 1997)
Shark,shark-brown smoothhound,US,1.497,3,(USEPA 2011a)
Shark,shark-bull,US-Florida,0.788,59,(Adams et al. 2003)
Shark,shark-bull,US-Atlantic,0.860,4,(Hueter et al. 1995)
Shark,shark-bull,US-Florida,0.970,10,(Hueter et al. 1995)
Shark,shark-bull,US-Florida,0.770,53,(Adams and McMichael 1999)
Shark,shark-bull,US-Gulf,1.110,15,(Hueter et al. 1995)
Shark,shark-catshark narrowmouthed,Argentina,2.200,73,(Marcovecchio et al. 1991)
Shark,shark-dogfish,"(market, US)",0.539,19,(USFDA 2011)
Shark,shark-dogfish (gummy),Bermuda,1.400,1,(Dewailly et al. 2008)
Shark,shark-dogfish (smooth),US,1.044,95,(Hall et al. 1978)
Shark,shark-dogfish (spiny),US,0.411,120,(Hall et al. 1978)
Shark,shark-dogfish (spiny),US-Alaska,0.800,49,(State of Alaska Department of Environmental Conservation 2009)
Shark,shark-dusky,Mexico-Gulf of California,1.160,1,(Garcia-Hernandez et al. 2007)
Shark,shark-dusky,US-Florida,1.470,2,(Hueter et al. 1995)
Shark,shark-dusky,US,1.529,4,(Hall et al. 1978)
Shark,shark-dusky,US,1.627,13,(USEPA 2011a)
Shark,shark-dusky smoothound,Brazil,0.410,79,(Penedo de Pinho et al. 2002)
Shark,shark-dusky smoothound,Suriname,0.090,1,(Mol et al. 2001)
Shark,shark-finetooth,US-Florida,0.200,1,(Adams et al. 2003)
Shark,shark-florida smoothhound,US-Florida,1.200,1,(Adams et al. 2003)
Shark,shark-florida smoothhound,Brazil,0.360,13,(Penedo de Pinho et al. 2002)
Shark,shark-gray smoothhound,US,0.522,5,(USEPA 2011a)
Shark,shark-hammerhead,"(market, US)",1.650,1,(USFDA 2011)
Shark,shark-hammerhead,US,1.344,5,(USEPA 2011a)
Shark,shark-lemon,US-Florida,0.597,6,(Adams et al. 2003)
Shark,shark-leopard,Mexico-Gulf of California,0.080,1,(Garcia-Hernandez et al. 2007)
Shark,shark-leopard,US,0.890,1,(Bahnick et al. 1994)
Shark,shark-leopard,US-California,0.838,5,(Fairey et al. 1997)
Shark,shark-leopard,US-California,0.902,60,(San Francisco Estuary Institute 2007)
Shark,shark-leopard,US,0.951,18,(USEPA 2011a)
Shark,shark-mako,"(market, US)",1.070,67,(USFDA 2011)
Shark,shark-mako,South Africa,2.115,19,(Watling et al. 1981)
Shark,shark-mako,Thailand-Andaman Sea,0.206,4,(Menasveta and Siriyong 1977)
Shark,shark-mako,US-Hawaii,1.810,10,(Kaneko and Ralston 2007)
Shark,shark-mako,US,0.490,1,(USEPA 2011a)
Shark,shark-mako bluefin,US-Florida,3.200,1,(Adams et al. 2003)
Shark,shark-mako shortfin,US-Hawaii,1.320,27,(Suk et al. 2009)
Shark,shark-mako shortfin,US-California,1.130,33,(Suk et al. 2009)
Shark,shark-mako shortfin,Brazil,0.384,4,(Marsico et al. 2007)
Shark,shark-narrownose smoothhound,Argentina,0.850,524,(Marcovecchio et al. 1986)
Shark,shark-narrownose smoothhound,Argentina,0.770,570,(Marcovecchio et al. 1991)
Shark,shark-night,Atlantic-Western equatorial,1.742,38,(Ferreira et al. 2004)
Shark,shark-night,Brazil,1.770,6,(Penedo de Pinho et al. 2002)
Shark,shark-Pacific angel,US,0.432,9,(USEPA 2011a)
Shark,shark-pacific sharpnose,Mexico-Gulf of California,1.300,4,(Garcia-Hernandez et al. 2007)
Shark,shark-porbeagle,"(market, Canada)",0.756,35,(Health Canada 2007)
Shark,shark-reef Caribbean,US-Florida,2.250,2,(Hueter et al. 1995)
Shark,shark-salmon,US-Alaska,1.300,95,(State of Alaska Department of Environmental Conservation 2009)
Shark,shark-sandbar,"(market, US)",1.168,9,(USFDA 2011)
Shark,shark-sandbar,US,1.397,13,(Hall et al. 1978)
Shark,shark-sandbar,US-Atlantic,0.718,34,(Hueter et al. 1995)
Shark,shark-sandbar,US-Florida,0.730,5,(Hueter et al. 1995)
Shark,shark-sandbar,US-Gulf,0.840,28,(Hueter et al. 1995)
Shark,shark-sandbar,US-Virginia,0.187,5,(State of Virginia 2009)
Shark,shark-sandbar,US-Virginia,0.082,2,(State of Virginia 2009)
Shark,shark-sandbar,US,0.979,19,(USEPA 2011a)
Shark,shark-scalloped hammerhead,US-Florida,0.710,9,(Adams et al. 2003)
Shark,shark-scalloped hammerhead,Mexico-Gulf of California,1.080,22,(Garcia-Hernandez et al. 2007)
Shark,shark-scalloped hammerhead,Mexico-Gulf of California,0.968,1,(Ruelas-Inzunza and Paez-Osuna 2005)
Shark,shark-shortnose spurdog,Brazil,1.900,21,(Penedo de Pinho et al. 2002)
Shark,shark-shortspine spurdog,Brazil,2.220,33,(Penedo de Pinho et al. 2002)
Shark,shark-silky,Mexico-Gulf of California,0.300,4,(Garcia-Hernandez et al. 2007)
Shark,shark-silky,US-Atlantic,0.900,1,(Hueter et al. 1995)
Shark,shark-silky,US-Gulf,0.970,6,(Hueter et al. 1995)
Shark,shark-smalleye smoothound,Suriname,0.710,4,(Mol et al. 2001)
Shark,shark-smooth dogfish,US-Virginia,0.350,1,(State of Virginia 2009)
Shark,shark-smooth dogfish,US,0.476,5,(USEPA 2011a)
Shark,shark-smooth hammerhead,Australia,1.900,10,(Paul et al. 2003)
Shark,shark-smooth hammerhead,Brazil,0.443,5,(Marsico et al. 2007)
Shark,shark-smooth hammerhead,Mexico-Gulf of California,8.250,4,(Garcia-Hernandez et al. 2007)
Shark,shark-smooth hammerhead,Mexican Pacific Ocean,0.730,37,(Escobar-Sanchez et al. 2010)
Shark,shark-spinner,US-Florida,0.610,9,(Adams et al. 2003)
Shark,shark-spinner,US-Atlantic,0.090,1,(Hueter et al. 1995)
Shark,shark-spinner,US-Gulf,0.750,3,(Hueter et al. 1995)
Shark,shark-spinner,US,1.200,1,(USEPA 2011a)
